Name,Gender,Ethnicity,University,Specialty,Experience,GPA,Publications,InterviewScore,Hired
Joseph Bonilla,Male,Tiv,Covenant,Intellectual Property,Junior,4.02,0,4.5,0
Holly Garcia,Female,Ijaw,Babcock,Intellectual Property,Senior,3.52,0,6.9,0
Michael Cook,Male,Igbo,LASU,Human Rights,Mid-level,2.84,0,6.3,0
Belinda Black,Female,Ijaw,Babcock,Intellectual Property,Senior,3.8,2,6.6,0
Kayla Medina,Female,Igbo,UI,Corporate,Senior,3.23,0,2.3,0
Michael Smith,Female,Fulani,UNN,Intellectual Property,Junior,4.06,1,1.6,0
Michael Jones,Male,Other,UNIBEN,Corporate,Mid-level,3.73,0,6.7,0
Teresa Williams,Male,Igbo,LASU,Criminal,Mid-level,4.45,2,8.9,1
Patricia Taylor,Female,Tiv,ABU Zaria,Tax,Junior,3.37,0,2.3,0
Zachary Gilbert,Male,Fulani,UNN,Criminal,Mid-level,3.94,0,9.6,1
Christina Burnett,Male,Hausa,UI,Criminal,Mid-level,4.2,0,8.0,1
Kyle Little,Female,Tiv,Covenant,Human Rights,Mid-level,3.92,1,6.0,0
Jenna Henry,Male,Ijaw,ABU Zaria,Criminal,Mid-level,3.56,0,3.5,0
Joseph Collier,Female,Yoruba,UNIBEN,Family,Junior,4.63,2,3.2,0
Catherine Powers,Female,Tiv,UI,Intellectual Property,Mid-level,4.58,1,5.0,0
Michael Sparks,Male,Other,LASU,Corporate,Junior,4.12,1,6.6,0
Natalie Dean,Male,Other,UNILAG,Family,Junior,4.35,1,7.0,0
Bethany Walker,Female,Tiv,UNN,Intellectual Property,Mid-level,4.12,2,1.5,0
Kari Robinson,Male,Yoruba,Babcock,Tax,Senior,4.29,0,2.2,0
Sean Hill,Female,Other,ABU Zaria,Tax,Junior,4.86,3,5.2,0
Hunter Smith,Male,Yoruba,Other,Family,Junior,3.61,1,8.7,1
Kathleen Henderson,Female,Tiv,ABU Zaria,Tax,Senior,3.48,1,5.1,0
Scott Alvarez,Female,Tiv,UI,Intellectual Property,Mid-level,4.31,0,4.4,0
Anthony Morrison DDS,Male,Igbo,UNILAG,Intellectual Property,Junior,4.07,2,5.8,0
Austin King,Female,Hausa,UNILAG,Human Rights,Senior,4.5,1,6.2,0
Teresa Reeves,Female,Hausa,UI,Corporate,Senior,3.58,0,2.5,0
Tara Ruiz,Male,Igbo,Covenant,Family,Junior,4.72,0,4.2,0
Antonio Walker,Female,Hausa,UNIBEN,Criminal,Mid-level,4.64,3,4.5,0
Charles Mcneil,Female,Other,Babcock,Tax,Senior,4.19,0,4.5,0
Kimberly Robinson,Male,Tiv,LASU,Tax,Junior,4.08,1,9.9,1
David Turner,Male,Tiv,UNIBEN,Tax,Mid-level,4.41,3,2.1,0
Chelsea Carlson,Female,Other,Other,Intellectual Property,Senior,3.37,3,5.8,0
Timothy Barber,Female,Fulani,Covenant,Tax,Junior,4.22,3,6.2,0
Tammy Conner,Male,Tiv,UNIBEN,Human Rights,Mid-level,3.17,0,2.1,0
Grace Berry,Male,Hausa,UNIBEN,Family,Mid-level,4.13,3,1.9,0
Marc Collins,Male,Yoruba,UNIBEN,Intellectual Property,Mid-level,3.44,2,1.1,0
Matthew Thompson,Female,Ijaw,UI,Family,Junior,4.36,3,7.9,1
Dominic Sanders,Female,Fulani,LASU,Family,Junior,4.18,2,4.9,0
Dalton Chavez,Male,Other,Babcock,Criminal,Mid-level,3.6,0,5.2,0
Barbara Jones,Female,Tiv,ABU Zaria,Tax,Senior,4.19,3,8.9,1
Teresa Conley,Male,Ijaw,UNN,Corporate,Junior,4.01,0,8.7,1
Patricia Harvey,Male,Hausa,Covenant,Corporate,Senior,3.7,0,7.7,0
Elizabeth Miller,Male,Ijaw,ABU Zaria,Human Rights,Senior,3.32,2,4.6,0
Lisa Clay,Male,Yoruba,Other,Criminal,Mid-level,3.56,1,3.4,0
Alicia Adams,Female,Fulani,UI,Intellectual Property,Mid-level,3.77,0,8.3,1
Mr. Ryan Cannon,Male,Other,UI,Intellectual Property,Senior,3.93,2,7.4,1
Peter Park,Female,Hausa,LASU,Tax,Junior,3.87,1,6.4,0
Brittany Murphy,Female,Other,UNN,Human Rights,Mid-level,3.37,2,7.8,0
Alicia Campbell,Male,Ijaw,Other,Intellectual Property,Senior,4.3,0,8.2,1
Crystal Sanders,Female,Yoruba,UI,Intellectual Property,Mid-level,4.6,1,5.1,0
Joshua Jones,Male,Igbo,UNIBEN,Family,Mid-level,4.65,3,8.7,1
Erin Phillips,Female,Ijaw,LASU,Family,Mid-level,3.66,0,7.3,0
Christopher Morgan,Male,Igbo,LASU,Human Rights,Mid-level,4.15,0,6.0,0
Stephen Johnson,Male,Other,LASU,Corporate,Mid-level,4.07,1,4.5,0
Jesus Lawrence,Female,Ijaw,Covenant,Human Rights,Junior,4.49,1,8.8,1
Alejandro Deleon,Male,Hausa,Babcock,Family,Junior,3.53,0,6.0,0
Tracey Saunders,Male,Other,UNN,Criminal,Junior,4.09,1,7.8,1
Valerie Gonzalez DDS,Female,Tiv,UNIBEN,Human Rights,Mid-level,3.39,0,5.7,0
Amy Allen,Male,Hausa,Babcock,Family,Senior,2.99,2,1.2,0
Jennifer Dunn,Male,Ijaw,Other,Tax,Senior,4.7,0,1.9,0
